"datetime","site_id","variable","daily_mean"
2020-09-25,"BARC","air_pressure",101048.672001008
2020-09-25,"BARC","air_temperature",27.2612433238696
2020-09-25,"BARC","eastward_wind",-0.210362031717875
2020-09-25,"BARC","northward_wind",-0.210362031717875
2020-09-25,"BARC","precipitation_flux",6.75776596164404e-06
2020-09-25,"BARC","relative_humidity",0.725675397790888
2020-09-25,"BARC","surface_downwelling_longwave_flux_in_air",405.055351995653
2020-09-25,"BARC","surface_downwelling_shortwave_flux_in_air",254.951612903226
2020-09-25,"CRAM","air_pressure",95091.8222761257
2020-09-25,"CRAM","air_temperature",15.5370555959723
2020-09-25,"CRAM","eastward_wind",-0.0509735905485208
2020-09-25,"CRAM","northward_wind",-0.0509735905485208
2020-09-25,"CRAM","precipitation_flux",5.71236569877255e-06
2020-09-25,"CRAM","relative_humidity",0.913460349523893
2020-09-25,"CRAM","surface_downwelling_longwave_flux_in_air",367.74083586662
2020-09-25,"CRAM","surface_downwelling_shortwave_flux_in_air",97.1451612903226
2020-09-25,"LIRO","air_pressure",95091.8222761257
2020-09-25,"LIRO","air_temperature",15.5370555959723
2020-09-25,"LIRO","eastward_wind",-0.0509735905485208
2020-09-25,"LIRO","northward_wind",-0.0509735905485208
2020-09-25,"LIRO","precipitation_flux",5.71236569877255e-06
2020-09-25,"LIRO","relative_humidity",0.913460349523893
2020-09-25,"LIRO","surface_downwelling_longwave_flux_in_air",367.74083586662
2020-09-25,"LIRO","surface_downwelling_shortwave_flux_in_air",97.1451612903226
2020-09-25,"PRLA","air_pressure",94581.7073462702
2020-09-25,"PRLA","air_temperature",20.0078752948392
2020-09-25,"PRLA","eastward_wind",3.1513919269626
2020-09-25,"PRLA","northward_wind",3.1513919269626
2020-09-25,"PRLA","precipitation_flux",1.00806452280518e-06
2020-09-25,"PRLA","relative_humidity",0.326448239254695
2020-09-25,"PRLA","surface_downwelling_longwave_flux_in_air",326.200513285975
2020-09-25,"PRLA","surface_downwelling_shortwave_flux_in_air",197.596774193548
2020-09-25,"PRPO","air_pressure",94064.6116483955
2020-09-25,"PRPO","air_temperature",19.6937226900491
2020-09-25,"PRPO","eastward_wind",3.5827964893392
2020-09-25,"PRPO","northward_wind",3.5827964893392
2020-09-25,"PRPO","precipitation_flux",1.34408602762518e-06
2020-09-25,"PRPO","relative_humidity",0.310292997238457
2020-09-25,"PRPO","surface_downwelling_longwave_flux_in_air",323.369868124685
2020-09-25,"PRPO","surface_downwelling_shortwave_flux_in_air",199.41935483871
2020-09-25,"SUGG","air_pressure",101048.672001008
2020-09-25,"SUGG","air_temperature",27.2612433238696
2020-09-25,"SUGG","eastward_wind",-0.210362031717875
2020-09-25,"SUGG","northward_wind",-0.210362031717875
2020-09-25,"SUGG","precipitation_flux",6.75776596164404e-06
2020-09-25,"SUGG","relative_humidity",0.725675397790888
2020-09-25,"SUGG","surface_downwelling_longwave_flux_in_air",405.055351995653
2020-09-25,"SUGG","surface_downwelling_shortwave_flux_in_air",254.951612903226
2020-09-25,"TOOK","air_pressure",88108.477266045
2020-09-25,"TOOK","air_temperature",-8.01922732937714
2020-09-25,"TOOK","eastward_wind",0.245397369104095
2020-09-25,"TOOK","northward_wind",0.245397369104095
2020-09-25,"TOOK","precipitation_flux",1.00433096215084e-05
2020-09-25,"TOOK","relative_humidity",0.953956991062369
2020-09-25,"TOOK","surface_downwelling_longwave_flux_in_air",253.765029784172
